family	run_id	workflow_attempt	job_id	head_sha	job_conclusion	outcome	title	failure	source_log_line
unclassified	33699023924	1	100474094416	88f42cd435fea6c522622b762184b673316eab5c	failure	retries_exhausted	e2e/log.spec.ts:451:1 › a connected arrival with no reading saves as no-reading and reads NO MONITOR READING, with a wall-clock time, from the log	2026-09-03T00:28:31.5978055Z     Error: locator.click: Test timeout of 30000ms exceeded.	1137
unclassified	33936813745	1	101226262723	c54be0a902aac6626c60fc55dbfb230a6c49ca7b	failure	retries_exhausted	e2e/today.spec.ts:1112:3 › Phase SF PR1: a logged session re-rolls the freestyle day › logging a session bumps the day records' session key and redraws	"2026-09-05T01:48:06.0922063Z     Error: postLogForWorkout failed for ""Occluded Front"": 404"	1144
unclassified	33945012905	1	101249430143	bbf170c9e74da2fe5a81b9b93383c66e9ef13a43	failure	retries_exhausted	e2e/news.spec.ts:171:1 › /news/releases lists every version, newest first	2026-09-05T04:45:25.4905791Z     Error: expect(locator).toHaveCount(expected) failed	1150
unclassified	34002119222	1	101402752181	20cb12ca100da4265e82dc0780fd7380ca81e1d3	failure	retries_exhausted	e2e/news.spec.ts:194:1 › /news/releases lists every version, newest first	2026-09-06T00:54:36.9339837Z     Error: expect(locator).toHaveCount(expected) failed	1153
unclassified	34003531529	1	101406548058	2f5acacac26d955126a553406726a26ff172de38	failure	retries_exhausted	e2e/news.spec.ts:194:1 › /news/releases lists every version, newest first	2026-09-06T01:26:57.7419059Z     Error: expect(locator).toContainText(expected) failed	1148
Library SOURCE filter save/read	34031115204	1	101480697802	4df605dfd83e7345817370249a5ff9ed6d3eab56	success	retry_recovered	e2e/library.spec.ts:403:3 › SOURCE filter › selecting MY WORKOUTS narrows to an authored workout, and CLEAR ALL restores the full library	2026-09-06T11:53:20.4471427Z     Error: expect(locator).toHaveCount(expected) failed	1128
Library SOURCE filter save/read	34040145839	1	101505322663	6908beb6704c11104bbcc71db406cc4de1416056	success	retry_recovered	e2e/library.spec.ts:403:3 › SOURCE filter › selecting MY WORKOUTS narrows to an authored workout, and CLEAR ALL restores the full library	2026-09-06T14:54:19.0160618Z     Error: expect(locator).toHaveCount(expected) failed	1176
unclassified	34040490351	1	101506257739	4e90da1240be6ca53130d19a80df475dfbba1ea2	failure	retries_exhausted	e2e/design.spec.ts:10194:3 › unlogged recovery render registrations › Today renders both retained sources and Connect warns singular then plural in both orientations	2026-09-06T15:02:51.0405448Z     Error: locator.click: Test timeout of 30000ms exceeded.	1150
unclassified	34040490351	1	101506257739	4e90da1240be6ca53130d19a80df475dfbba1ea2	failure	retries_exhausted	e2e/design.spec.ts:10275:3 › unlogged recovery render registrations › landscape warning reveals the safe View exit above navigation and begins its keyboard flow there	2026-09-06T15:02:51.0440221Z     Error: locator.click: Test timeout of 30000ms exceeded.	1226
unclassified	34040490351	1	101506257739	4e90da1240be6ca53130d19a80df475dfbba1ea2	failure	retries_exhausted	e2e/session.spec.ts:1376:3 › Phase 7B Task 5: Connect over a real (not seeded) unlogged session — the F5 door's own e2e › Connect over a real finished-but-unlogged session stages the confirm; Cancel preserves it byte-identical	2026-09-06T15:02:51.0476197Z     Error: locator.click: Test timeout of 30000ms exceeded.	1302
unclassified	34040490351	1	101506257739	4e90da1240be6ca53130d19a80df475dfbba1ea2	failure	retries_exhausted	e2e/session.spec.ts:1423:3 › Phase 7B Task 5: Connect over a real (not seeded) unlogged session — the F5 door's own e2e › Connect anyway is reachable and staged copy is exact — proceeding further belongs to the client-level suite (see comment above)	2026-09-06T15:02:51.0509963Z     Error: locator.click: Test timeout of 30000ms exceeded.	1378
Library SOURCE filter save/read	34055396726	1	101546294246	343c3b6151d32a6c2713a0396119df6999db3847	success	retry_recovered	e2e/library.spec.ts:403:3 › SOURCE filter › selecting MY WORKOUTS narrows to an authored workout, and CLEAR ALL restores the full library	2026-09-06T19:44:42.4964809Z     Error: expect(locator).toHaveCount(expected) failed	1141
unclassified	34151797365	1	101835494920	05774f8633f34f6de907886b39ad81060c1ee38a	failure	job_failed	client  src/workout/WorkoutDetail.test.tsx > the caption's Set one up (Phase RW PR C) > still navigates when preferences errored, rather than trapping the rower	2026-09-07T18:34:15.6863373Z AssertionError: expected [ false ] to strictly equal []	3927
unclassified	34156806106	1	101850260678	3c319cc8b9c1c7f151e68442aedd3ec2db56c0a3	failure	job_failed	client  src/workout/WorkoutDetail.test.tsx > the caption's Set one up (Phase RW PR C) > still navigates when preferences errored, rather than trapping the rower	2026-09-07T19:52:30.5710594Z AssertionError: expected [ false ] to strictly equal []	3991
stored baseline reset	34227444823	1	102065021059	d8604a3834cc3b4dfe72bc97477f8bf5ba61ab3c	success	retry_recovered	e2e/design.spec.ts:11840:3 › the stored skip (Phase RW PR C) › resetting the baselines brings the doors back	2026-09-08T12:50:06.7691036Z     Error: expect(locator).toBeVisible() failed	1192
Library SOURCE filter save/read	34235758302	1	102092989492	ddf250876a3cf0dfeb63e740736bac3c2dde3fb5	success	retry_recovered	e2e/library.spec.ts:403:3 › SOURCE filter › selecting MY WORKOUTS narrows to an authored workout, and CLEAR ALL restores the full library	2026-09-08T14:12:15.3375792Z     Error: expect(locator).toHaveCount(expected) failed	1158
stored baseline reset	34296749882	1	102294991631	5d64805ed55f505c319e0de59f3893cfa0a19d82	success	retry_recovered	e2e/design.spec.ts:12509:3 › the stored skip (Phase RW PR C) › resetting the baselines brings the doors back	2026-09-09T01:00:55.5532752Z     Error: expect(locator).toBeVisible() failed	1162
unclassified	34305503379	1	102321282914	36b05b154f8f4d32bd2bbf83446d0adf9cbc5a1f	failure	job_failed	unit  scripts/testEnv.test.ts > isCI > isCI(%p) === %p	2026-09-09T03:08:25.5058953Z AssertionError: expected true to be false // Object.is equality	4099
stored baseline reset	34305503379	1	102321282936	36b05b154f8f4d32bd2bbf83446d0adf9cbc5a1f	success	retry_recovered	e2e/design.spec.ts:12520:3 › the stored skip (Phase RW PR C) › resetting the baselines brings the doors back	2026-09-09T03:12:06.6757137Z     Error: expect(locator).toBeVisible() failed	1185
stored baseline reset	34309092248	1	102331864373	46d83feabd8dcb7ff1e0263be2cb86b5064989f0	success	retry_recovered	e2e/design.spec.ts:12520:3 › the stored skip (Phase RW PR C) › resetting the baselines brings the doors back	2026-09-09T04:06:34.4995147Z     Error: expect(locator).toBeVisible() failed	1180
stored baseline reset	34357786404	1	102486838147	9c6daf1332648638b7716cc2dab1b4533f290957	success	retry_recovered	e2e/design.spec.ts:12623:3 › the stored skip (Phase RW PR C) › resetting the baselines brings the doors back	2026-09-09T13:42:43.7796109Z     Error: expect(locator).toBeVisible() failed	1186
Library SOURCE filter save/read	34476540096	1	102868650689	e5631445b11a4c74546d37c0520a228315af57e2	success	retry_recovered	e2e/library.spec.ts:403:3 › SOURCE filter › selecting MY WORKOUTS narrows to an authored workout, and CLEAR ALL restores the full library	2026-09-10T12:33:12.5881294Z     Error: expect(locator).toHaveCount(expected) failed	1165
unclassified	34697534083	1	103563516975	ce82315cf2632014030100ce6c2b8f357a892552	failure	job_failed	integration  server/routes/isolation.integration.test.ts > two-user isolation, global-library sharing, and log-freezing across the full API > article reads are isolated per user: A's PUT never appears in B's GET	2026-09-12T13:56:51.6079109Z AssertionError: expected { slugs: [ 'effort-scale' ] } to strictly equal { slugs: [ 'effort-scale', …(1) ] }	4169
unclassified	34697534083	1	103563516975	ce82315cf2632014030100ce6c2b8f357a892552	failure	job_failed	integration  server/routes/isolation.integration.test.ts > two-user isolation, global-library sharing, and log-freezing across the full API > article-reads DELETE is isolated per user: A's unmark never touches B's reads, and is idempotent	2026-09-12T13:56:51.6194487Z AssertionError: expected { slugs: [ 'effort-scale' ] } to strictly equal { slugs: [ 'effort-scale', …(1) ] }	4192
unclassified	34697687007	1	103563914895	2fc3e662c28746e5300b845608639771d543ff8c	failure	job_failed	integration  server/routes/isolation.integration.test.ts > two-user isolation, global-library sharing, and log-freezing across the full API > article reads are isolated per user: A's PUT never appears in B's GET	2026-09-12T14:00:43.7997795Z AssertionError: expected { slugs: [ 'effort-scale' ] } to strictly equal { slugs: [ 'effort-scale', …(1) ] }	4191
unclassified	34697687007	1	103563914895	2fc3e662c28746e5300b845608639771d543ff8c	failure	job_failed	integration  server/routes/isolation.integration.test.ts > two-user isolation, global-library sharing, and log-freezing across the full API > article-reads DELETE is isolated per user: A's unmark never touches B's reads, and is idempotent	2026-09-12T14:00:43.8118900Z AssertionError: expected { slugs: [ 'effort-scale' ] } to strictly equal { slugs: [ 'effort-scale', …(1) ] }	4214
stored baseline reset	34728176296	1	103646006860	ae4d8df2441ef4f4123f0859c137f0dc7cad1dd6	failure	retries_exhausted	e2e/design.spec.ts:12728:3 › the stored skip (Phase RW PR C) › resetting the baselines brings the doors back	2026-09-13T00:40:50.8977022Z     Error: expect(locator).toBeVisible() failed	1158
